Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
,調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
0,2024/3/6,,,,,,,,,21096,,25096,
1,2024/3/4,29.5,31,33,27.1,,,19893,15978,,,,
2,2024/2/26,29.4,30.9,32.9,26.9,,,19693,15778,,,,
3,2024/2/19,29.4,30.9,32.9,26.9,,,19693,15778,,,,
4,2024/2/12,29,30.5,32.5,27,,,19793,15878,,,,
5,2024/2/6,,,,,,,,,22259,,25563,
6,2024/2/5,29,30.5,32.5,27.4,,,20193,16278,,,,
7,2024/1/29,29,30.5,32.5,27.5,,,20293,16378,,,,
8,2024/1/22,28.9,30.4,32.4,27.7,,,20493,16578,,,,
9,2024/1/15,29,30.5,32.5,27.8,,,20593,16678,,,,
10,2024/1/8,29.2,30.7,32.7,27.8,,,20593,16678,,,,
11,2024/1/6,,,,,,,,,22618,,26618,
12,2024/1/3,,,,,,42.2,,,,,,
13,2024/1/1,29.5,31,33,27.9,,,20693,16778,,,,
14,2023/12/26,,,,,,42.7,,,,,,
15,2023/12/25,29.6,31.1,33.1,28,,,20793,16878,,,,
16,2023/12/19,,,,,,42.3,,,,,,
17,2023/12/18,29.2,30.7,32.7,27.9,,,20693,16778,,,,
18,2023/12/12,,,,,,43,,,,,,
19,2023/12/11,29.5,31,33,27.6,,,20393,16478,,,,
20,2023/12/6,,,,,,,,,21862,,25862,
21,2023/12/5,,,,,,43.7,,,,,,
22,2023/12/4,29.5,31,33,27,,,19793,15878,,,,
23,2023/11/27,29.5,31,33,27.1,,,19893,15978,,,,
24,2023/11/21,,,,,,44,,,,,,
25,2023/11/20,29.5,31,33,27.1,,,19893,15978,,,,
26,2023/11/14,,,,,,44.4,,,,,,
27,2023/11/13,29.6,31.1,33.1,27.1,,,19893,15978,,,,
28,2023/11/7,,,,,,45.4,,,,,,
29,2023/11/6,29.7,31.2,33.2,27.2,,,19993,16078,20827,,24827,
30,2023/10/31,,,,,,45.8,,,,,,
31,2023/10/30,29.7,31.2,33.2,27.3,,,20093,16178,,,,
32,2023/10/24,,,,,,46.4,,,,,,
33,2023/10/23,29.9,31.4,33.4,27.5,,,20293,16378,,,,
34,2023/10/17,,,,,,45.7,,,,,,
35,2023/10/16,30.2,31.7,33.7,27.8,,,20593,16678,,,,
36,2023/10/12,,,,,,46.4,,,,,,
37,2023/10/9,30.7,32.2,34.2,28.3,,,21093,17178,,,,
38,2023/10/6,,,,,,,,,20155,,24155,
39,2023/10/2,30.8,32.3,34.3,28.4,,,21193,17278,,,,
40,2023/9/25,31.1,32.6,34.6,28.6,,,21393,17478,,,,
41,2023/9/19,,,,,,47.1,,,,,,
42,2023/9/18,31.4,32.9,34.9,29,,,21793,17878,,,,
43,2023/9/12,,,,,,46.1,,,,,,
44,2023/9/11,31.6,33.1,35.1,29.1,,,21893,17978,,,,
45,2023/9/6,,,,,,45.8,,,20080,,24080,
46,2023/9/4,31.2,32.7,34.7,29.3,,,22093,18178,,,,
47,2023/8/29,,,,,,45.4,,,,,,
48,2023/8/28,31.1,32.6,34.6,29.2,,,21993,18078,,,,
49,2023/8/21,31.2,32.7,34.7,28.8,,,21593,17678,,,,
50,2023/8/15,,,,,,44.5,,,,,,
51,2023/8/14,31.1,32.6,34.6,28.7,,,21493,17578,,,,
52,2023/8/8,,,,,,43.4,,,,,,
53,2023/8/7,30.5,32,34,28.2,,,20993,17078,,,,
54,2023/8/6,,,,,,,,,20088,,23946,
55,2023/8/1,,,,,,41.5,,,,,,
56,2023/7/31,30.3,31.8,33.8,28,,,20793,16878,,,,
57,2023/7/24,29.8,31.3,33.3,28.1,,,20893,16978,,,,
58,2023/7/18,,,,,,39.9,,,,,,
59,2023/7/17,29.5,31,33,27.7,,,20493,16578,,,,
60,2023/7/10,29.1,30.6,32.6,27.3,,,20093,16178,,,,
61,2023/7/6,,,,,,,,,19987,,23987,
62,2023/7/3,28.8,30.3,32.3,27.1,,,19893,15978,,,,
63,2023/6/27,,,,,,38.9,,,,,,
64,2023/6/26,28.9,30.4,32.4,26.9,,,19693,15778,,,,
65,2023/6/19,28.5,30,32,27.2,,,19993,16078,,,,
66,2023/6/12,28.8,30.3,32.3,27,,,19793,15878,,,,
67,2023/6/6,,,,,,38,,,20204,,24204,
68,2023/6/5,28.5,30,32,27,,,19793,15878,,,,
69,2023/5/29,28.9,30.4,32.4,27.1,,,19893,15978,,,,
70,2023/5/22,28.6,30.1,32.1,27.4,,,20193,16278,,,,
71,2023/5/15,28.8,30.3,32.3,27.6,,,20393,16478,,,,
72,2023/5/9,,,,,,38.9,,,,,,
73,2023/5/8,28.6,30.1,32.1,27.3,,,20093,16178,,,,
74,2023/5/6,,,,,,,,,20651,,24651,
