編號,地震時間,經度,緯度,規模,深度,位置
185,2024/4/9 15:40,121.539,23.8352,4.2,7.2,花蓮縣政府南南西方  19.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
184,2024/4/9 09:33,121.549,23.7742,4.3,23.7,花蓮縣政府南南西方  25.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
183,2024/4/9 07:26,121.679,24.1697,4.5,27.1,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
182,2024/4/9 06:14,121.705,23.9917,4.9,16.4,花蓮縣政府東方  8.7  公里 (位於花蓮縣近海)(花蓮縣近海)
181,2024/4/9 02:02,121.682,23.9438,5.3,24.6,花蓮縣政府東南方  8.2  公里 (位於花蓮縣近海)(花蓮縣近海)
180,2024/4/8 16:45,121.644,23.9463,4.5,35.4,花蓮縣政府南南東方  5.5  公里 (位於花蓮縣近海)(花蓮縣近海)
179,2024/4/8 13:09,121.829,24.2088,5.1,5.1,花蓮縣政府東北方  32.1  公里 (位於臺灣東部海域)(臺灣東部海域)
178,2024/4/8 07:28,121.847,24.2467,4.3,24.2,花蓮縣政府東北方  36.5  公里 (位於臺灣東部海域)(臺灣東部海域)
177,2024/4/8 06:49,121.824,24.2422,4.8,16.8,花蓮縣政府東北方  34.7  公里 (位於臺灣東部海域)(臺灣東部海域)
176,2024/4/8 03:58,121.664,23.9368,4.6,37.2,花蓮縣政府東南方  7.5  公里 (位於花蓮縣近海)(花蓮縣近海)
175,2024/4/8 02:12,121.836,24.2917,4.4,10.8,花蓮縣政府東北方  39.9  公里 (位於花蓮縣近海)(花蓮縣近海)
174,2024/4/7 23:35,121.851,24.2858,4,9.9,花蓮縣政府東北方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
173,2024/4/7 18:24,121.685,24.105,4.4,17.3,花蓮縣政府北北東方  14.3  公里 (位於花蓮縣近海)(花蓮縣近海)
172,2024/4/7 18:01,121.965,24.1698,5.4,16.9,花蓮縣政府東北東方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
171,2024/4/7 12:48,121.555,23.838,4.2,19,花蓮縣政府南南西方  18.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
170,2024/4/7 12:43,121.616,23.9667,4.5,26.5,花蓮縣政府南方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海)
169,2024/4/7 10:06,121.755,24.2635,4.5,11.7,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
168,2024/4/7 06:30,121.587,24.0573,4,5.9,花蓮縣政府北北西方  8.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
167,2024/4/7 05:50,121.699,24.2503,4.1,13.1,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
166,2024/4/7 05:15,121.714,24.0403,5.1,13.8,花蓮縣政府東北東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海)
165,2024/4/7 00:03,121.753,24.2258,4.1,13.3,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
164,2024/4/6 23:53,121.855,24.1885,4.7,21.9,花蓮縣政府東北方  32.4  公里 (位於臺灣東部海域)(臺灣東部海域)
163,2024/4/6 23:46,121.751,24.2627,4,10.9,花蓮縣政府北北東方  32.9  公里 (位於花蓮縣近海)(花蓮縣近海)
162,2024/4/6 23:43,121.754,24.2735,4.3,11.2,花蓮縣政府北北東方  34.1  公里 (位於花蓮縣近海)(花蓮縣近海)
161,2024/4/6 21:17,121.742,24.24,4.7,10.5,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
