time,road,milage,direct,type,counts
2024-04-29 18:05,01F,0005,N,31,123
2024-04-29 18:05,01F,0005,N,32,24
2024-04-29 18:05,01F,0005,N,41,7
2024-04-29 18:05,01F,0005,N,42,1
2024-04-29 18:05,01F,0005,N,5,0
2024-04-29 18:05,01F,0005,S,31,86
2024-04-29 18:05,01F,0005,S,32,15
2024-04-29 18:05,01F,0005,S,41,8
2024-04-29 18:05,01F,0005,S,42,0
2024-04-29 18:05,01F,0005,S,5,0
2024-04-29 18:05,01F,0017,N,31,108
2024-04-29 18:05,01F,0017,N,32,26
2024-04-29 18:05,01F,0017,N,41,7
2024-04-29 18:05,01F,0017,N,42,1
2024-04-29 18:05,01F,0017,N,5,2
2024-04-29 18:05,01F,0017,S,31,74
2024-04-29 18:05,01F,0017,S,32,16
2024-04-29 18:05,01F,0017,S,41,7
2024-04-29 18:05,01F,0017,S,42,0
2024-04-29 18:05,01F,0017,S,5,0
2024-04-29 18:05,01F,0029,N,31,148
2024-04-29 18:05,01F,0029,N,32,35
2024-04-29 18:05,01F,0029,N,41,7
2024-04-29 18:05,01F,0029,N,42,0
2024-04-29 18:05,01F,0029,N,5,1
2024-04-29 18:05,01F,0029,S,31,100
2024-04-29 18:05,01F,0029,S,32,21
2024-04-29 18:05,01F,0029,S,41,8
2024-04-29 18:05,01F,0029,S,42,3
2024-04-29 18:05,01F,0029,S,5,0
2024-04-29 18:05,01F,0061,N,31,253
2024-04-29 18:05,01F,0061,N,32,61
2024-04-29 18:05,01F,0061,N,41,7
2024-04-29 18:05,01F,0061,N,42,5
2024-04-29 18:05,01F,0061,N,5,5
2024-04-29 18:05,01F,0061,S,31,170
2024-04-29 18:05,01F,0061,S,32,37
2024-04-29 18:05,01F,0061,S,41,6
2024-04-29 18:05,01F,0061,S,42,8
2024-04-29 18:05,01F,0061,S,5,5
2024-04-29 18:05,01F,0099,N,31,175
2024-04-29 18:05,01F,0099,N,32,51
2024-04-29 18:05,01F,0099,N,41,9
2024-04-29 18:05,01F,0099,N,42,2
2024-04-29 18:05,01F,0099,N,5,9
2024-04-29 18:05,01F,0099,S,31,172
2024-04-29 18:05,01F,0099,S,32,38
2024-04-29 18:05,01F,0099,S,41,7
2024-04-29 18:05,01F,0099,S,42,6
2024-04-29 18:05,01F,0099,S,5,4
2024-04-29 18:05,01F,0147,N,31,198
2024-04-29 18:05,01F,0147,N,32,48
2024-04-29 18:05,01F,0147,N,41,8
2024-04-29 18:05,01F,0147,N,42,6
2024-04-29 18:05,01F,0147,N,5,9
2024-04-29 18:05,01F,0147,S,31,147
2024-04-29 18:05,01F,0147,S,32,20
2024-04-29 18:05,01F,0147,S,41,10
2024-04-29 18:05,01F,0147,S,42,3
2024-04-29 18:05,01F,0147,S,5,4
2024-04-29 18:05,01F,0153,N,31,238
2024-04-29 18:05,01F,0153,N,32,64
