TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量,Rains
2024/05/04,00:00,6,1,01F0584N,01F0557N,31,100,55,0
2024/05/04,00:00,6,1,01F0584N,01F0557N,32,97,17,0
2024/05/04,00:00,6,1,01F0584N,01F0557N,41,97,1,0
2024/05/04,00:00,6,1,01F0584N,01F0557N,42,90,11,0
2024/05/04,00:00,6,1,01F0584N,01F0557N,5,88,8,0
2024/05/04,00:00,6,1,01F0633N,01F0584N,31,104,39,0
2024/05/04,00:00,6,1,01F0633N,01F0584N,32,99,12,0
2024/05/04,00:00,6,1,01F0633N,01F0584N,41,66,2,0
2024/05/04,00:00,6,1,01F0633N,01F0584N,42,86,11,0
2024/05/04,00:00,6,1,01F0633N,01F0584N,5,90,15,0
2024/05/04,00:00,6,1,01F0578S,01F0633S,31,97,45,0
2024/05/04,00:00,6,1,01F0578S,01F0633S,32,93,8,0
2024/05/04,00:00,6,1,01F0578S,01F0633S,41,0,0,0
2024/05/04,00:00,6,1,01F0578S,01F0633S,42,86,10,0
2024/05/04,00:00,6,1,01F0578S,01F0633S,5,86,13,0
2024/05/04,00:00,6,1,01F0633S,01F0664S,31,97,66,0
2024/05/04,00:00,6,1,01F0633S,01F0664S,32,93,12,0
2024/05/04,00:00,6,1,01F0633S,01F0664S,41,0,0,0
2024/05/04,00:00,6,1,01F0633S,01F0664S,42,86,11,0
2024/05/04,00:00,6,1,01F0633S,01F0664S,5,86,10,0
2024/05/04,00:00,6,1,01F0633N,01H0579N,31,100,15,0
2024/05/04,00:00,6,1,01F0633N,01H0579N,32,100,1,0
2024/05/04,00:00,6,1,01F0633N,01H0579N,41,0,0,0
2024/05/04,00:00,6,1,01F0633N,01H0579N,42,0,0,0
2024/05/04,00:00,6,1,01F0633N,01H0579N,5,0,0,0
2024/05/04,00:00,6,1,01F0578S,01H0610S,31,97,16,0
2024/05/04,00:00,6,1,01F0578S,01H0610S,32,88,2,0
2024/05/04,00:00,6,1,01F0578S,01H0610S,41,0,0,0
2024/05/04,00:00,6,1,01F0578S,01H0610S,42,0,0,0
2024/05/04,00:00,6,1,01F0578S,01H0610S,5,0,0,0
2024/05/04,00:05,6,1,01F0584N,01F0557N,31,100,57,0
2024/05/04,00:05,6,1,01F0584N,01F0557N,32,93,13,0
2024/05/04,00:05,6,1,01F0584N,01F0557N,41,93,2,0
2024/05/04,00:05,6,1,01F0584N,01F0557N,42,91,8,0
2024/05/04,00:05,6,1,01F0584N,01F0557N,5,82,13,0
2024/05/04,00:05,6,1,01F0633N,01F0584N,31,97,37,0
2024/05/04,00:05,6,1,01F0633N,01F0584N,32,97,9,0
2024/05/04,00:05,6,1,01F0633N,01F0584N,41,90,1,0
2024/05/04,00:05,6,1,01F0633N,01F0584N,42,91,6,0
2024/05/04,00:05,6,1,01F0633N,01F0584N,5,82,10,0
2024/05/04,00:05,6,1,01F0578S,01F0633S,31,100,34,0
2024/05/04,00:05,6,1,01F0578S,01F0633S,32,97,10,0
2024/05/04,00:05,6,1,01F0578S,01F0633S,41,91,2,0
2024/05/04,00:05,6,1,01F0578S,01F0633S,42,86,14,0
2024/05/04,00:05,6,1,01F0578S,01F0633S,5,86,19,0
2024/05/04,00:05,6,1,01F0633S,01F0664S,31,100,56,0
2024/05/04,00:05,6,1,01F0633S,01F0664S,32,90,15,0
2024/05/04,00:05,6,1,01F0633S,01F0664S,41,90,1,0
2024/05/04,00:05,6,1,01F0633S,01F0664S,42,86,9,0
2024/05/04,00:05,6,1,01F0633S,01F0664S,5,86,21,0
2024/05/04,00:05,6,1,01F0633N,01H0579N,31,100,15,0
2024/05/04,00:05,6,1,01F0633N,01H0579N,32,115,1,0
2024/05/04,00:05,6,1,01F0633N,01H0579N,41,0,0,0
2024/05/04,00:05,6,1,01F0633N,01H0579N,42,0,0,0
2024/05/04,00:05,6,1,01F0633N,01H0579N,5,0,0,0
2024/05/04,00:05,6,1,01F0578S,01H0610S,31,97,12,0
2024/05/04,00:05,6,1,01F0578S,01H0610S,32,93,2,0
2024/05/04,00:05,6,1,01F0578S,01H0610S,41,0,0,0
2024/05/04,00:05,6,1,01F0578S,01H0610S,42,0,0,0
2024/05/04,00:05,6,1,01F0578S,01H0610S,5,0,0,0
2024/05/04,00:10,6,1,01F0584N,01F0557N,31,100,57,0
2024/05/04,00:10,6,1,01F0584N,01F0557N,32,97,15,0
2024/05/04,00:10,6,1,01F0584N,01F0557N,41,0,0,0
2024/05/04,00:10,6,1,01F0584N,01F0557N,42,90,6,0
2024/05/04,00:10,6,1,01F0584N,01F0557N,5,88,12,0
2024/05/04,00:10,6,1,01F0633N,01F0584N,31,100,51,0
2024/05/04,00:10,6,1,01F0633N,01F0584N,32,100,17,0
2024/05/04,00:10,6,1,01F0633N,01F0584N,41,21,1,0
2024/05/04,00:10,6,1,01F0633N,01F0584N,42,93,7,0
2024/05/04,00:10,6,1,01F0633N,01F0584N,5,86,15,0
2024/05/04,00:10,6,1,01F0578S,01F0633S,31,104,27,0
2024/05/04,00:10,6,1,01F0578S,01F0633S,32,97,12,0
2024/05/04,00:10,6,1,01F0578S,01F0633S,41,0,0,0
2024/05/04,00:10,6,1,01F0578S,01F0633S,42,90,15,0
2024/05/04,00:10,6,1,01F0578S,01F0633S,5,86,12,0
2024/05/04,00:10,6,1,01F0633S,01F0664S,31,104,37,0
2024/05/04,00:10,6,1,01F0633S,01F0664S,32,100,9,0
2024/05/04,00:10,6,1,01F0633S,01F0664S,41,97,1,0
2024/05/04,00:10,6,1,01F0633S,01F0664S,42,91,20,0
2024/05/04,00:10,6,1,01F0633S,01F0664S,5,82,9,0
2024/05/04,00:10,6,1,01F0633N,01H0579N,31,97,17,0
2024/05/04,00:10,6,1,01F0633N,01H0579N,32,55,2,0
2024/05/04,00:10,6,1,01F0633N,01H0579N,41,0,0,0
2024/05/04,00:10,6,1,01F0633N,01H0579N,42,0,0,0
2024/05/04,00:10,6,1,01F0633N,01H0579N,5,0,0,0
2024/05/04,00:10,6,1,01F0578S,01H0610S,31,100,9,0
2024/05/04,00:10,6,1,01F0578S,01H0610S,32,0,0,0
2024/05/04,00:10,6,1,01F0578S,01H0610S,41,0,0,0
2024/05/04,00:10,6,1,01F0578S,01H0610S,42,0,0,0
2024/05/04,00:10,6,1,01F0578S,01H0610S,5,0,0,0
2024/05/04,00:15,6,1,01F0584N,01F0557N,31,100,66,0
2024/05/04,00:15,6,1,01F0584N,01F0557N,32,99,16,0
2024/05/04,00:15,6,1,01F0584N,01F0557N,41,93,3,0
2024/05/04,00:15,6,1,01F0584N,01F0557N,42,86,9,0
2024/05/04,00:15,6,1,01F0584N,01F0557N,5,91,18,0
2024/05/04,00:15,6,1,01F0633N,01F0584N,31,100,43,0
2024/05/04,00:15,6,1,01F0633N,01F0584N,32,99,12,0
2024/05/04,00:15,6,1,01F0633N,01F0584N,41,91,2,0
2024/05/04,00:15,6,1,01F0633N,01F0584N,42,88,12,0
2024/05/04,00:15,6,1,01F0633N,01F0584N,5,86,21,0
2024/05/04,00:15,6,1,01F0578S,01F0633S,31,100,46,0
2024/05/04,00:15,6,1,01F0578S,01F0633S,32,95,8,0
2024/05/04,00:15,6,1,01F0578S,01F0633S,41,0,0,0
2024/05/04,00:15,6,1,01F0578S,01F0633S,42,90,7,0
2024/05/04,00:15,6,1,01F0578S,01F0633S,5,93,6,0
2024/05/04,00:15,6,1,01F0633S,01F0664S,31,100,57,0
2024/05/04,00:15,6,1,01F0633S,01F0664S,32,97,12,0
2024/05/04,00:15,6,1,01F0633S,01F0664S,41,0,0,0
2024/05/04,00:15,6,1,01F0633S,01F0664S,42,82,5,0
2024/05/04,00:15,6,1,01F0633S,01F0664S,5,88,10,0
2024/05/04,00:15,6,1,01F0633N,01H0579N,31,97,13,0
2024/05/04,00:15,6,1,01F0633N,01H0579N,32,99,2,0
2024/05/04,00:15,6,1,01F0633N,01H0579N,41,0,0,0
2024/05/04,00:15,6,1,01F0633N,01H0579N,42,0,0,0
2024/05/04,00:15,6,1,01F0633N,01H0579N,5,0,0,0
2024/05/04,00:15,6,1,01F0578S,01H0610S,31,93,8,0
2024/05/04,00:15,6,1,01F0578S,01H0610S,32,100,1,0
2024/05/04,00:15,6,1,01F0578S,01H0610S,41,0,0,0
2024/05/04,00:15,6,1,01F0578S,01H0610S,42,0,0,0
2024/05/04,00:15,6,1,01F0578S,01H0610S,5,0,0,0
2024/05/04,00:20,6,1,01F0584N,01F0557N,31,100,59,0
2024/05/04,00:20,6,1,01F0584N,01F0557N,32,97,9,0
2024/05/04,00:20,6,1,01F0584N,01F0557N,41,90,2,0
2024/05/04,00:20,6,1,01F0584N,01F0557N,42,90,9,0
2024/05/04,00:20,6,1,01F0584N,01F0557N,5,88,8,0
2024/05/04,00:20,6,1,01F0633N,01F0584N,31,100,47,0
