TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量,Rains
2024/05/04,00:00,6,1,01F0584N,01F0557N,31,100,55,
2024/05/04,00:00,6,1,01F0584N,01F0557N,32,97,17,
2024/05/04,00:00,6,1,01F0584N,01F0557N,41,97,1,
2024/05/04,00:00,6,1,01F0584N,01F0557N,42,90,11,
2024/05/04,00:00,6,1,01F0584N,01F0557N,5,88,8,
2024/05/04,00:00,6,1,01F0633N,01F0584N,31,104,39,
2024/05/04,00:00,6,1,01F0633N,01F0584N,32,99,12,
2024/05/04,00:00,6,1,01F0633N,01F0584N,41,66,2,
2024/05/04,00:00,6,1,01F0633N,01F0584N,42,86,11,
2024/05/04,00:00,6,1,01F0633N,01F0584N,5,90,15,
2024/05/04,00:00,6,1,01F0578S,01F0633S,31,97,45,
2024/05/04,00:00,6,1,01F0578S,01F0633S,32,93,8,
2024/05/04,00:00,6,1,01F0578S,01F0633S,41,0,0,
2024/05/04,00:00,6,1,01F0578S,01F0633S,42,86,10,
2024/05/04,00:00,6,1,01F0578S,01F0633S,5,86,13,
2024/05/04,00:00,6,1,01F0633S,01F0664S,31,97,66,
2024/05/04,00:00,6,1,01F0633S,01F0664S,32,93,12,
2024/05/04,00:00,6,1,01F0633S,01F0664S,41,0,0,
2024/05/04,00:00,6,1,01F0633S,01F0664S,42,86,11,
2024/05/04,00:00,6,1,01F0633S,01F0664S,5,86,10,
2024/05/04,00:00,6,1,01F0633N,01H0579N,31,100,15,
2024/05/04,00:00,6,1,01F0633N,01H0579N,32,100,1,
2024/05/04,00:00,6,1,01F0633N,01H0579N,41,0,0,
2024/05/04,00:00,6,1,01F0633N,01H0579N,42,0,0,
2024/05/04,00:00,6,1,01F0633N,01H0579N,5,0,0,
2024/05/04,00:00,6,1,01F0578S,01H0610S,31,97,16,
2024/05/04,00:00,6,1,01F0578S,01H0610S,32,88,2,
2024/05/04,00:00,6,1,01F0578S,01H0610S,41,0,0,
2024/05/04,00:00,6,1,01F0578S,01H0610S,42,0,0,
2024/05/04,00:00,6,1,01F0578S,01H0610S,5,0,0,
2024/05/04,00:05,6,1,01F0584N,01F0557N,31,100,57,
2024/05/04,00:05,6,1,01F0584N,01F0557N,32,93,13,
2024/05/04,00:05,6,1,01F0584N,01F0557N,41,93,2,
2024/05/04,00:05,6,1,01F0584N,01F0557N,42,91,8,
2024/05/04,00:05,6,1,01F0584N,01F0557N,5,82,13,
2024/05/04,00:05,6,1,01F0633N,01F0584N,31,97,37,
2024/05/04,00:05,6,1,01F0633N,01F0584N,32,97,9,
2024/05/04,00:05,6,1,01F0633N,01F0584N,41,90,1,
2024/05/04,00:05,6,1,01F0633N,01F0584N,42,91,6,
2024/05/04,00:05,6,1,01F0633N,01F0584N,5,82,10,
2024/05/04,00:05,6,1,01F0578S,01F0633S,31,100,34,
2024/05/04,00:05,6,1,01F0578S,01F0633S,32,97,10,
2024/05/04,00:05,6,1,01F0578S,01F0633S,41,91,2,
2024/05/04,00:05,6,1,01F0578S,01F0633S,42,86,14,
2024/05/04,00:05,6,1,01F0578S,01F0633S,5,86,19,
2024/05/04,00:05,6,1,01F0633S,01F0664S,31,100,56,
2024/05/04,00:05,6,1,01F0633S,01F0664S,32,90,15,
2024/05/04,00:05,6,1,01F0633S,01F0664S,41,90,1,
2024/05/04,00:05,6,1,01F0633S,01F0664S,42,86,9,
2024/05/04,00:05,6,1,01F0633S,01F0664S,5,86,21,
2024/05/04,00:05,6,1,01F0633N,01H0579N,31,100,15,
2024/05/04,00:05,6,1,01F0633N,01H0579N,32,115,1,
2024/05/04,00:05,6,1,01F0633N,01H0579N,41,0,0,
2024/05/04,00:05,6,1,01F0633N,01H0579N,42,0,0,
2024/05/04,00:05,6,1,01F0633N,01H0579N,5,0,0,
2024/05/04,00:05,6,1,01F0578S,01H0610S,31,97,12,
2024/05/04,00:05,6,1,01F0578S,01H0610S,32,93,2,
2024/05/04,00:05,6,1,01F0578S,01H0610S,41,0,0,
2024/05/04,00:05,6,1,01F0578S,01H0610S,42,0,0,
