GantryFrom,Time,Rains,交通量
01F0578S,00:00,0,589
01F0578S,00:00,1,1003
01F0578S,00:05,0,621
01F0578S,00:05,1,970
01F0578S,00:10,0,627
01F0578S,00:10,1,1046
01F0578S,00:15,0,565
01F0578S,00:15,1,1015
01F0578S,00:20,0,624
01F0578S,00:20,1,968
01F0578S,00:25,0,579
01F0578S,00:25,1,989
01F0578S,00:30,0,565
01F0578S,00:30,1,949
01F0578S,00:35,0,541
01F0578S,00:35,1,927
01F0578S,00:40,0,581
01F0578S,00:40,1,896
01F0578S,00:45,0,507
01F0578S,00:45,1,845
01F0578S,00:50,0,492
01F0578S,00:50,1,843
01F0578S,00:55,0,454
01F0578S,00:55,1,774
01F0578S,01:00,0,488
01F0578S,01:00,1,767
01F0578S,01:05,0,420
01F0578S,01:05,1,742
01F0578S,01:10,0,404
01F0578S,01:10,1,739
01F0578S,01:15,0,403
01F0578S,01:15,1,689
01F0578S,01:20,0,426
01F0578S,01:20,1,653
01F0578S,01:25,0,439
01F0578S,01:25,1,705
01F0578S,01:30,0,438
01F0578S,01:30,1,672
01F0578S,01:35,0,418
01F0578S,01:35,1,653
01F0578S,01:40,0,398
01F0578S,01:40,1,664
01F0578S,01:45,0,400
01F0578S,01:45,1,560
01F0578S,01:50,0,502
01F0578S,01:50,1,708
01F0578S,01:55,0,442
01F0578S,01:55,1,653
01F0578S,02:00,0,395
01F0578S,02:00,1,558
01F0578S,02:05,0,392
01F0578S,02:05,1,632
01F0578S,02:10,0,376
01F0578S,02:10,1,562
01F0578S,02:15,0,345
01F0578S,02:15,1,608
01F0578S,02:20,0,394
01F0578S,02:20,1,596
01F0578S,02:25,0,350
01F0578S,02:25,1,572
01F0578S,02:30,0,364
01F0578S,02:30,1,542
01F0578S,02:35,0,389
01F0578S,02:35,1,540
01F0578S,02:40,0,348
01F0578S,02:40,1,555
01F0578S,02:45,0,327
01F0578S,02:45,1,524
01F0578S,02:50,0,343
01F0578S,02:50,1,536
01F0578S,02:55,0,336
01F0578S,02:55,1,515
01F0578S,03:00,0,345
01F0578S,03:00,1,518
01F0578S,03:05,0,317
01F0578S,03:05,1,543
01F0578S,03:10,0,300
01F0578S,03:10,1,437
01F0578S,03:15,0,327
01F0578S,03:15,1,529
01F0578S,03:20,0,327
01F0578S,03:20,1,529
01F0578S,03:25,0,321
01F0578S,03:25,1,507
01F0578S,03:30,0,315
01F0578S,03:30,1,506
01F0578S,03:35,0,356
01F0578S,03:35,1,527
01F0578S,03:40,0,319
01F0578S,03:40,1,501
01F0578S,03:45,0,325
01F0578S,03:45,1,517
01F0578S,03:50,0,340
01F0578S,03:50,1,508
01F0578S,03:55,0,356
01F0578S,03:55,1,531
01F0578S,04:00,0,355
01F0578S,04:00,1,571
01F0578S,04:05,0,361
01F0578S,04:05,1,569
01F0578S,04:10,0,402
01F0578S,04:10,1,577
01F0578S,04:15,0,398
01F0578S,04:15,1,616
01F0578S,04:20,0,402
01F0578S,04:20,1,603
01F0578S,04:25,0,441
01F0578S,04:25,1,715
01F0578S,04:30,0,418
01F0578S,04:30,1,730
01F0578S,04:35,0,501
01F0578S,04:35,1,753
01F0578S,04:40,0,482
01F0578S,04:40,1,729
01F0578S,04:45,0,468
01F0578S,04:45,1,766
01F0578S,04:50,0,516
01F0578S,04:50,1,838
01F0578S,04:55,0,608
01F0578S,04:55,1,842
01F0578S,05:00,0,509
01F0578S,05:00,1,948
01F0578S,05:05,0,670
01F0578S,05:05,1,977
01F0578S,05:10,0,645
01F0578S,05:10,1,1113
01F0578S,05:15,0,789
01F0578S,05:15,1,1117
01F0578S,05:20,0,750
01F0578S,05:20,1,1282
01F0578S,05:25,0,775
01F0578S,05:25,1,1365
01F0578S,05:30,0,876
01F0578S,05:30,1,1428
01F0578S,05:35,0,926
01F0578S,05:35,1,1607
