TimeInterval,Time,WeekDay,HoliDay,GantryFrom,GantryTo,VehicleType,SpaceMeanSpeed,交通量
2024/05/23,00:00,4,0,01F0584N,01F0557N,31,100,35
2024/05/23,00:00,4,0,01F0584N,01F0557N,32,95,6
2024/05/23,00:00,4,0,01F0584N,01F0557N,41,90,1
2024/05/23,00:00,4,0,01F0584N,01F0557N,42,90,9
2024/05/23,00:00,4,0,01F0584N,01F0557N,5,90,7
2024/05/23,00:00,4,0,01F0633N,01F0584N,31,100,29
2024/05/23,00:00,4,0,01F0633N,01F0584N,32,100,5
2024/05/23,00:00,4,0,01F0633N,01F0584N,41,93,1
2024/05/23,00:00,4,0,01F0633N,01F0584N,42,88,6
2024/05/23,00:00,4,0,01F0633N,01F0584N,5,93,14
2024/05/23,00:00,4,0,01F0578S,01F0633S,31,100,29
2024/05/23,00:00,4,0,01F0578S,01F0633S,32,102,2
2024/05/23,00:00,4,0,01F0578S,01F0633S,41,55,2
2024/05/23,00:00,4,0,01F0578S,01F0633S,42,77,8
2024/05/23,00:00,4,0,01F0578S,01F0633S,5,93,11
2024/05/23,00:00,4,0,01F0633S,01F0664S,31,100,37
2024/05/23,00:00,4,0,01F0633S,01F0664S,32,100,5
2024/05/23,00:00,4,0,01F0633S,01F0664S,41,93,1
2024/05/23,00:00,4,0,01F0633S,01F0664S,42,86,12
2024/05/23,00:00,4,0,01F0633S,01F0664S,5,82,12
2024/05/23,00:00,4,0,01F0633N,01H0579N,31,95,8
2024/05/23,00:00,4,0,01F0633N,01H0579N,32,102,2
2024/05/23,00:00,4,0,01F0633N,01H0579N,41,0,0
2024/05/23,00:00,4,0,01F0633N,01H0579N,42,0,0
2024/05/23,00:00,4,0,01F0633N,01H0579N,5,0,0
2024/05/23,00:00,4,0,01F0578S,01H0610S,31,90,8
2024/05/23,00:00,4,0,01F0578S,01H0610S,32,97,2
2024/05/23,00:00,4,0,01F0578S,01H0610S,41,0,0
2024/05/23,00:00,4,0,01F0578S,01H0610S,42,0,0
2024/05/23,00:00,4,0,01F0578S,01H0610S,5,0,0
2024/05/23,00:05,4,0,01F0584N,01F0557N,31,100,37
2024/05/23,00:05,4,0,01F0584N,01F0557N,32,97,10
2024/05/23,00:05,4,0,01F0584N,01F0557N,41,0,0
