date,chinese ,isHoliday,holidayCategory,description
2013/1/1,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,是,放假之紀念日及節日,全國各機關學校放假一日。
2013/1/5,,是,星期六、星期日,
2013/1/6,,是,星期六、星期日,
2013/1/12,,是,星期六、星期日,
2013/1/13,,是,星期六、星期日,
2013/1/19,,是,星期六、星期日,
2013/1/20,,是,星期六、星期日,
2013/1/26,,是,星期六、星期日,
2013/1/27,,是,星期六、星期日,
2013/2/2,,是,星期六、星期日,
2013/2/3,,是,星期六、星期日,
2013/2/9,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月十三日補假一日。
2013/2/10,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2013/2/11,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2013/2/12,春節,是,放假之紀念日及節日,全國各機關學校於二月十日至二月十二日放假三日，二月十日適逢星期日，於二月十四日補假一日。
2013/2/13,,是,補假,
2013/2/14,,是,補假,
2013/2/15,,是,調整放假日,二月十五日全國各機關學校調整假，於二月二十三日補行上班一日。
2013/2/16,,是,星期六、星期日,
2013/2/17,,是,星期六、星期日,
2013/2/23,,否,補行上班日,
2013/2/24,,是,星期日,
2013/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2013/3/2,,是,星期六、星期日,
2013/3/3,,是,星期六、星期日,
2013/3/8,婦女節,否,紀念日及節日,本日照常上班。
2013/3/9,,是,星期六、星期日,
2013/3/10,,是,星期六、星期日,
2013/3/16,,是,星期六、星期日,
2013/3/17,,是,星期六、星期日,
2013/3/23,,是,星期六、星期日,
2013/3/24,,是,星期六、星期日,
2013/3/29,青年節,否,紀念日及節日,本日照常上班。
2013/3/30,,是,星期六、星期日,
2013/3/31,,是,星期六、星期日,
2013/4/4,清明節、兒童節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢民族掃墓節，調整至四月五日放假。
2013/4/5,,是,調整放假日,
2013/4/6,,是,星期六、星期日,
2013/4/7,,是,星期六、星期日,
2013/4/13,,是,星期六、星期日,
2013/4/14,,是,星期六、星期日,
2013/4/20,,是,星期六、星期日,
2013/4/21,,是,星期六、星期日,
2013/4/27,,是,星期六、星期日,
2013/4/28,,是,星期六、星期日,
2013/5/1,勞動節,否,特定節日,勞工放假一日。
2013/5/4,,是,星期六、星期日,
2013/5/5,,是,星期六、星期日,
2013/5/11,,是,星期六、星期日,
2013/5/12,,是,星期六、星期日,
2013/5/18,,是,星期六、星期日,
2013/5/19,,是,星期六、星期日,
2013/5/25,,是,星期六、星期日,
2013/5/26,,是,星期六、星期日,
2013/6/1,,是,星期六、星期日,
2013/6/2,,是,星期六、星期日,
2013/6/8,,是,星期六、星期日,
2013/6/9,,是,星期六、星期日,
2013/6/12,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
2013/6/15,,是,星期六、星期日,
2013/6/16,,是,星期六、星期日,
2013/6/22,,是,星期六、星期日,
2013/6/23,,是,星期六、星期日,
2013/6/29,,是,星期六、星期日,
2013/6/30,,是,星期六、星期日,
2013/7/6,,是,星期六、星期日,
2013/7/7,,是,星期六、星期日,
2013/7/13,,是,星期六、星期日,
2013/7/14,,是,星期六、星期日,
2013/7/20,,是,星期六、星期日,
2013/7/21,,是,星期六、星期日,
2013/7/27,,是,星期六、星期日,
2013/7/28,,是,星期六、星期日,
2013/8/3,,是,星期六、星期日,
2013/8/4,,是,星期六、星期日,
2013/8/10,,是,星期六、星期日,
2013/8/11,,是,星期六、星期日,
2013/8/17,,是,星期六、星期日,
2013/8/18,,是,星期六、星期日,
2013/8/24,,是,星期六、星期日,
2013/8/25,,是,星期六、星期日,
2013/8/31,,是,星期六、星期日,
2013/9/1,,是,星期六、星期日,
2013/9/3,軍人節,否,特定節日,軍人依國防部規定辦理
2013/9/7,,是,星期六、星期日,
2013/9/8,,是,星期六、星期日,
2013/9/14,,否,補行上班日,
2013/9/15,,是,星期日,
2013/9/19,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
2013/9/20,,是,調整放假日,九月二十日全國各機關學校調整放假，於九月十四日補行上班一日
2013/9/21,,是,星期六、星期日,
2013/9/22,,是,星期六、星期日,
2013/9/28,教師節,是,紀念日及節日,適逢星期六放假一日
2013/9/29,,是,星期六、星期日,
2013/10/5,,是,星期六、星期日,
2013/10/6,,是,星期六、星期日,
2013/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
2013/10/12,,是,星期六、星期日,
2013/10/13,,是,星期六、星期日,
2013/10/19,,是,星期六、星期日,
2013/10/20,,是,星期六、星期日,
2013/10/25,臺灣光復節,否,紀念日及節日,本日照常上班。
2013/10/26,,是,星期六、星期日,
2013/10/27,,是,星期六、星期日,
2013/11/2,,是,星期六、星期日,
2013/11/3,,是,星期六、星期日,
2013/11/9,,是,星期六、星期日,
2013/11/10,,是,星期六、星期日,
2013/11/12,國父誕辰紀念日(中華文化復興節),否,紀念日及節日,本日照常上班。
2013/11/16,,是,星期六、星期日,
2013/11/17,,是,星期六、星期日,
2013/11/23,,是,星期六、星期日,
2013/11/24,,是,星期六、星期日,
2013/11/30,,是,星期六、星期日,
2013/12/1,,是,星期六、星期日,
2013/12/7,,是,星期六、星期日,
2013/12/8,,是,星期六、星期日,
2013/12/14,,是,星期六、星期日,
2013/12/15,,是,星期六、星期日,
2013/12/21,,是,星期六、星期日,
2013/12/22,,是,星期六、星期日,
2013/12/25,行憲紀念日,否,紀念日及節日,本日照常上班。
2013/12/28,,是,星期六、星期日,
2013/12/29,,是,星期六、星期日,
2014/1/1,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/1/4,,是,星期六、星期日,
2014/1/5,,是,星期六、星期日,
2014/1/11,,是,星期六、星期日,
2014/1/12,,是,星期六、星期日,
2014/1/18,,是,星期六、星期日,
2014/1/19,,是,星期六、星期日,
2014/1/25,,是,星期六、星期日,
2014/1/26,,是,星期六、星期日,
2014/1/30,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/1/31,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014/2/1,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014/2/2,春節,是,放假之紀念日及節日,全國各機關學校於一月三十一日至二月二日放假三日，二月一日及二月二日適逢星期六、星期日，分別於二月三日及二月四日補假一日。
2014/2/3,,是,補假,
2014/2/4,,是,補假,
2014/2/8,,是,星期六、星期日,
2014/2/9,,是,星期六、星期日,
2014/2/15,,是,星期六、星期日,
2014/2/16,,是,星期六、星期日,
2014/2/22,,是,星期六、星期日,
2014/2/23,,是,星期六、星期日,
2014/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/3/1,,是,星期六、星期日,
2014/3/2,,是,星期六、星期日,
2014/3/8,婦女節,是,紀念日及節日,適逢星期六放假一日。
2014/3/9,,是,星期六、星期日,
2014/3/15,,是,星期六、星期日,
2014/3/16,,是,星期六、星期日,
2014/3/22,,是,星期六、星期日,
2014/3/23,,是,星期六、星期日,
2014/3/29,青年節,是,紀念日及節日,適逢星期六放假一日。
2014/3/30,,是,星期六、星期日,
2014/4/4,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/4/5,民族掃墓節,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/4/6,,是,星期六、星期日,
2014/4/12,,是,星期六、星期日,
2014/4/13,,是,星期六、星期日,
2014/4/19,,是,星期六、星期日,
2014/4/20,,是,星期六、星期日,
2014/4/26,,是,星期六、星期日,
2014/4/27,,是,星期六、星期日,
2014/5/1,勞動節,否,特定節日,勞工放假一日。
2014/5/3,,是,星期六、星期日,
2014/5/4,,是,星期六、星期日,
2014/5/10,,是,星期六、星期日,
2014/5/11,,是,星期六、星期日,
2014/5/17,,是,星期六、星期日,
2014/5/18,,是,星期六、星期日,
2014/5/24,,是,星期六、星期日,
2014/5/25,,是,星期六、星期日,
2014/5/31,,是,星期六、星期日,
2014/6/1,,是,星期六、星期日,
2014/6/2,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/6/7,,是,星期六、星期日,
2014/6/8,,是,星期六、星期日,
2014/6/14,,是,星期六、星期日,
2014/6/15,,是,星期六、星期日,
2014/6/21,,是,星期六、星期日,
2014/6/22,,是,星期六、星期日,
2014/6/28,,是,星期六、星期日,
2014/6/29,,是,星期六、星期日,
2014/7/5,,是,星期六、星期日,
2014/7/6,,是,星期六、星期日,
2014/7/12,,是,星期六、星期日,
2014/7/13,,是,星期六、星期日,
2014/7/19,,是,星期六、星期日,
2014/7/20,,是,星期六、星期日,
2014/7/26,,是,星期六、星期日,
2014/7/27,,是,星期六、星期日,
2014/8/2,,是,星期六、星期日,
2014/8/3,,是,星期六、星期日,
2014/8/9,,是,星期六、星期日,
2014/8/10,,是,星期六、星期日,
2014/8/16,,是,星期六、星期日,
2014/8/17,,是,星期六、星期日,
2014/8/23,,是,星期六、星期日,
2014/8/24,,是,星期六、星期日,
2014/8/30,,是,星期六、星期日,
2014/8/31,,是,星期六、星期日,
2014/9/3,軍人節,否,特定節日,軍人依國防部規定辦理
2014/9/6,,是,星期六、星期日,
2014/9/7,,是,星期六、星期日,
2014/9/8,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/9/13,,是,星期六、星期日,
2014/9/14,,是,星期六、星期日,
2014/9/20,,是,星期六、星期日,
2014/9/21,,是,星期六、星期日,
2014/9/27,,是,星期六、星期日,
2014/9/28,教師節,是,紀念日及節日,適逢星期日放假一日
2014/10/4,,是,星期六、星期日,
2014/10/5,,是,星期六、星期日,
2014/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
2014/10/11,,是,星期六、星期日,
2014/10/12,,是,星期六、星期日,
2014/10/18,,是,星期六、星期日,
2014/10/19,,是,星期六、星期日,
2014/10/25,臺灣光復節,是,紀念日及節日,適逢星期六放假一日
2014/10/26,,是,星期六、星期日,
2014/11/1,,是,星期六、星期日,
2014/11/2,,是,星期六、星期日,
2014/11/8,,是,星期六、星期日,
2014/11/9,,是,星期六、星期日,
2014/11/12,國父誕辰紀念日(中華文化復興節),否,紀念日及節日,本日照常上班。
2014/11/15,,是,星期六、星期日,
2014/11/16,,是,星期六、星期日,
2014/11/22,,是,星期六、星期日,
2014/11/23,,是,星期六、星期日,
2014/11/29,,是,星期六、星期日,
2014/11/30,,是,星期六、星期日,
2014/12/6,,是,星期六、星期日,
2014/12/7,,是,星期六、星期日,
2014/12/13,,是,星期六、星期日,
2014/12/14,,是,星期六、星期日,
2014/12/20,,是,星期六、星期日,
2014/12/21,,是,星期六、星期日,
2014/12/25,行憲紀念日,否,紀念日及節日,本日照常上班。
2014/12/27,,否,補行上班日,
2014/12/28,,是,星期六、星期日,
2015/1/1,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2015/1/2,,是,調整放假日,
2015/1/3,,是,星期六、星期日,
2015/1/4,,是,星期六、星期日,
2015/1/10,,是,星期六、星期日,
2015/1/11,,是,星期六、星期日,
2015/1/17,,是,星期六、星期日,
2015/1/18,,是,星期六、星期日,
2015/1/24,,是,星期六、星期日,
2015/1/25,,是,星期六、星期日,
2015/1/31,,是,星期六、星期日,
2015/2/1,,是,星期六、星期日,
2015/2/7,,是,星期六、星期日,
2015/2/8,,是,星期六、星期日,
2015/2/14,,是,星期六、星期日,
2015/2/15,,是,星期六、星期日,
2015/2/18,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
2015/2/19,春節,是,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015/2/20,春節,是,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015/2/21,春節,是,放假之紀念日及節日,全國各機關學校於二月十九日至二月二十一日放假三日，二月二十一日適逢星期六，於二月二十三日補假一日。
2015/2/22,,是,星期六、星期日,
2015/2/23,,是,補假,
2015/2/27,,是,補假,
2015/2/28,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於二月二十七日補假一日。
2015/3/1,,是,星期六、星期日,
2015/3/7,,是,星期六、星期日,
2015/3/8,,是,星期六、星期日,
2015/3/14,,是,星期六、星期日,
2015/3/15,,是,星期六、星期日,
2015/3/21,,是,星期六、星期日,
2015/3/22,,是,星期六、星期日,
2015/3/28,,是,星期六、星期日,
2015/3/29,,是,星期六、星期日,
2015/4/3,,是,補假,
2015/4/4,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於四月三日補假一日。
2015/4/5,民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於四月六日補假一日。
2015/4/6,,是,補假,
2015/4/11,,是,星期六、星期日,
2015/4/12,,是,星期六、星期日,
2015/4/18,,是,星期六、星期日,
2015/4/19,,是,星期六、星期日,
2015/4/25,,是,星期六、星期日,
2015/4/26,,是,星期六、星期日,
2015/5/1,勞動節,否,特定節日,勞工放假一日。
2015/5/2,,是,星期六、星期日,
2015/5/3,,是,星期六、星期日,
2015/5/9,,是,星期六、星期日,
2015/5/10,,是,星期六、星期日,
2015/5/16,,是,星期六、星期日,
2015/5/17,,是,星期六、星期日,
2015/5/23,,是,星期六、星期日,
2015/5/24,,是,星期六、星期日,
2015/5/30,,是,星期六、星期日,
2015/5/31,,是,星期六、星期日,
2015/6/6,,是,星期六、星期日,
2015/6/7,,是,星期六、星期日,
2015/6/13,,是,星期六、星期日,
2015/6/14,,是,星期六、星期日,
2015/6/19,,是,補假,
2015/6/20,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於六月十九日補假一日。
2015/6/21,,是,星期六、星期日,
2015/6/27,,是,星期六、星期日,
2015/6/28,,是,星期六、星期日,
2015/7/4,,是,星期六、星期日,
2015/7/5,,是,星期六、星期日,
2015/7/11,,是,星期六、星期日,
2015/7/12,,是,星期六、星期日,
2015/7/18,,是,星期六、星期日,
2015/7/19,,是,星期六、星期日,
2015/7/25,,是,星期六、星期日,
2015/7/26,,是,星期六、星期日,
2015/8/1,,是,星期六、星期日,
2015/8/2,,是,星期六、星期日,
2015/8/8,,是,星期六、星期日,
2015/8/9,,是,星期六、星期日,
2015/8/15,,是,星期六、星期日,
2015/8/16,,是,星期六、星期日,
2015/8/22,,是,星期六、星期日,
2015/8/23,,是,星期六、星期日,
2015/8/29,,是,星期六、星期日,
2015/8/30,,是,星期六、星期日,
2015/9/3,軍人節,否,特定節日,軍人依國防部規定辦理
2015/9/5,,是,星期六、星期日,
2015/9/6,,是,星期六、星期日,
2015/9/12,,是,星期六、星期日,
2015/9/13,,是,星期六、星期日,
2015/9/19,,是,星期六、星期日,
2015/9/20,,是,星期六、星期日,
2015/9/26,,是,星期六、星期日,
2015/9/27,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於九月二十八日補假一日。
2015/9/28,,是,補假,
2015/10/3,,是,星期六、星期日,
2015/10/4,,是,星期六、星期日,
2015/10/9,,是,補假,
2015/10/10,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於十月九日補假一日。
2015/10/11,,是,星期六、星期日,
2015/10/17,,是,星期六、星期日,
2015/10/18,,是,星期六、星期日,
2015/10/24,,是,星期六、星期日,
2015/10/25,,是,星期六、星期日,
2015/10/31,,是,星期六、星期日,
2015/11/1,,是,星期六、星期日,
2015/11/7,,是,星期六、星期日,
2015/11/8,,是,星期六、星期日,
2015/11/14,,是,星期六、星期日,
2015/11/15,,是,星期六、星期日,
2015/11/21,,是,星期六、星期日,
2015/11/22,,是,星期六、星期日,
2015/11/28,,是,星期六、星期日,
2015/11/29,,是,星期六、星期日,
2015/12/5,,是,星期六、星期日,
2015/12/6,,是,星期六、星期日,
2015/12/12,,是,星期六、星期日,
2015/12/13,,是,星期六、星期日,
2015/12/19,,是,星期六、星期日,
2015/12/20,,是,星期六、星期日,
2015/12/26,,是,星期六、星期日,
2015/12/27,,是,星期六、星期日,
2016/1/1,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
2016/1/2,,是,星期六、星期日,
2016/1/3,,是,星期六、星期日,
2016/1/9,,是,星期六、星期日,
2016/1/10,,是,星期六、星期日,
2016/1/16,,是,星期六、星期日,
2016/1/17,,是,星期六、星期日,
2016/1/23,,是,星期六、星期日,
2016/1/24,,是,星期六、星期日,
2016/1/30,,否,補行上班日,
2016/1/31,,是,星期六、星期日,
2016/2/6,,是,星期六、星期日,
2016/2/7,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月十一日補假一日，調整二月十二日為放假日，並於一月三十日補行上班。
2016/2/8,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/9,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/10,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2016/2/11,,是,補假,
2016/2/12,,是,調整放假日,
2016/2/13,,是,星期六、星期日,
2016/2/14,,是,星期六、星期日,
2016/2/20,,是,星期六、星期日,
